"idOsoby","imię","nazwisko","nr_telefonu"
"148","Mariola","Krupa","589755980"
"149","Mariusz","Tatarkiewicz","171832653"
"150","Marzena","Kokoryk","404605881"
"151","Mateusz","Kurczak","323099715"
"152","Maurycy","Kocicki","146369789"
"153","Michal","Nowak","384983908"
"154","Michal","Kozica","347692694"
"155","Monika","Sibilska","597061373"
"156","Monika","Roztocka","130235539"
"157","Monika","Klucznik","256479624"
"158","Monika","Drabik","367431675"
"159","Monika","Antczak","606100977"
"160","Nadzieja","Stasiak","790731153"
"161","Natalia","Kozica","763778170"
"162","Natalia","Kowalska","698419024"
"163","Oskar","Adamczyk","262545960"
"164","Patrycja","Kwiatkowska","644675852"
"165","Patrycja","Kaczorek","795788207"
"166","Patrycja","Gren","686106582"
"167","Patrycja","Biler","913698024"
"168","Paula","Kozica","201858900"
"169","Paulina","Stawikowska","335516598"
"170","Paulina","Piekarz","537470721"
"171","Pawel","Siwek","285027466"
"172","Pawel","Nowakowski","944440433"
"173","Pawel","Gabowski","743177214"
"174","Pelagia","Zajac","195209191"
"175","Pelagia","Kurska","363578930"
"176","Piotr","Specjalny","922681603"
"177","Piotr","Siwek","897063385"
"178","Piotr","Odolanowski","109911845"
"179","Piotr","Markowski","786344050"
"180","Rafal","Wroclawski","646581699"
"181","Remigiusz","Kaliszewski","764848634"
"182","Remigiusz","Bielaszewski","647657695"
"183","Renata","Stasiak","500286117"
"184","Renata","Modrzewska","426742055"
"185","Ryszard","Kowalski","773813404"
"186","Ryszard","Kalisz","864478287"
"187","Sergiusz","Kalisz","648234623"
"188","Sylwester","Wojtas","490491848"
"189","Tadeusz","Kruczek","189920833"
"190","Tomasz","Stankiewicz","201759195"
"191","Tomasz","Milde","743000595"
"192","Tomasz","Lange","214642172"
"193","Tomasz","Krupa","925820428"
"194","Urszula","Stawikowska","711705757"
"195","Urszula","Specjalna","247132827"
"196","Weronika","Makowska","339405544"
"197","Wojciech","Jagielski","643394166"
"198","Wojciech","Burski","408664122"
"199","Zenon","Kowal","802069355"
"200","Zofia","Stankiewicz","945999700"
